EmployeeID,Department,JobRole,Age,Gender,TenureYears,PerformanceScore,ActiveStatus
EMP-10000,Customer Success,Implementation Consultant,38,Male,1.9,4,1
EMP-10001,Sales,Account Executive,58,Male,2.3,4,1
EMP-10002,Finance,Controller,31,Female,2.2,3,1
EMP-10003,Customer Success,Support Specialist,44,Male,2.4,3,1
EMP-10004,Customer Success,Support Specialist,45,Male,4.0,3,1
EMP-10005,HR,People Operations Analyst,49,Female,6.8,2,1
EMP-10006,Sales,Sales Manager,30,Male,2.2,1,1
EMP-10007,Finance,FP&A Manager,35,Female,5.2,4,1
EMP-10008,Engineering,QA Analyst,48,Female,4.9,3,1
EMP-10009,Operations,Supply Chain Manager,45,Female,2.6,3,1
EMP-10010,Engineering,Data Engineer,30,Female,0.7,4,1
EMP-10011,Engineering,Engineering Manager,34,Male,2.0,3,1
EMP-10012,Customer Success,Implementation Consultant,33,Female,6.2,2,1
EMP-10013,Finance,FP&A Manager,45,Female,1.1,4,0
EMP-10014,Engineering,QA Analyst,57,Female,0.9,3,1
EMP-10015,Engineering,Software Engineer,46,Male,0.9,2,1
EMP-10016,Finance,Controller,45,Male,2.4,3,1
EMP-10017,Engineering,Data Engineer,23,Male,1.4,4,1
EMP-10018,Customer Success,Implementation Consultant,55,Female,2.5,3,1
EMP-10019,Operations,Operations Analyst,45,Male,7.5,3,1
EMP-10020,Marketing,Campaign Manager,49,Female,2.1,3,0
EMP-10021,Operations,Operations Analyst,54,Female,2.8,2,1
EMP-10022,Sales,Sales Operations Analyst,38,Female,3.4,4,1
EMP-10023,Sales,Sales Operations Analyst,41,Female,1.8,3,1
EMP-10024,Finance,Controller,53,Male,10.1,4,1
EMP-10025,Customer Success,Support Specialist,22,Female,3.9,3,1
EMP-10026,Engineering,Engineering Manager,49,Female,2.1,2,1
EMP-10027,Customer Success,Implementation Consultant,44,Male,5.7,2,1
EMP-10028,Engineering,QA Analyst,39,Female,11.2,4,1
EMP-10029,Finance,Financial Analyst,28,Female,1.7,2,1
EMP-10030,Operations,Process Lead,47,Female,6.3,4,1
EMP-10031,Operations,Operations Analyst,53,Male,5.5,4,1
EMP-10032,Finance,Financial Analyst,40,Male,4.7,4,1
EMP-10033,Engineering,QA Analyst,24,Male,0.6,2,0
EMP-10034,Customer Success,Implementation Consultant,44,Male,3.9,3,0
EMP-10035,Marketing,Marketing Analyst,52,Male,3.6,2,1
EMP-10036,Finance,Financial Analyst,29,Male,2.2,3,1
EMP-10037,Operations,Supply Chain Manager,56,Female,3.3,3,1
EMP-10038,Engineering,Engineering Manager,44,Nonbinary,6.8,1,0
EMP-10039,Customer Success,Support Specialist,25,Male,3.5,4,1
EMP-10040,Operations,Operations Analyst,40,Female,9.1,3,1
EMP-10041,Engineering,QA Analyst,32,Female,7.8,3,0
EMP-10042,Operations,Supply Chain Manager,59,Male,6.4,2,1
EMP-10043,HR,Recruiter,38,Female,4.0,4,1
EMP-10044,Engineering,QA Analyst,59,Male,3.9,3,1
EMP-10045,Finance,Financial Analyst,23,Female,8.6,4,1
EMP-10046,Engineering,Software Engineer,48,Female,7.6,4,1
EMP-10047,Customer Success,CS Manager,49,Female,4.0,3,1
EMP-10048,Operations,Supply Chain Manager,51,Female,1.0,2,1
EMP-10049,Finance,Financial Analyst,39,Female,2.4,3,1
EMP-10050,Marketing,Marketing Analyst,31,Male,6.9,4,1
EMP-10051,Customer Success,Support Specialist,40,Male,1.5,2,1
EMP-10052,Marketing,Marketing Analyst,40,Female,1.9,2,1
EMP-10053,Engineering,QA Analyst,35,Female,0.8,1,1
EMP-10054,Engineering,Data Engineer,23,Female,3.3,1,1
EMP-10055,HR,People Operations Analyst,37,Female,7.5,2,1
EMP-10056,Operations,Operations Analyst,28,Male,4.9,3,1
EMP-10057,Operations,Supply Chain Manager,57,Male,3.6,1,0
EMP-10058,Marketing,Marketing Analyst,29,Female,3.0,2,1
EMP-10059,Finance,Financial Analyst,35,Female,1.8,1,1
EMP-10060,Sales,Sales Manager,50,Male,5.3,3,1
EMP-10061,Engineering,QA Analyst,25,Female,4.3,3,0
EMP-10062,Finance,Financial Analyst,57,Male,2.0,2,1
EMP-10063,HR,Recruiter,37,Male,5.0,3,0
EMP-10064,Marketing,Campaign Manager,37,Male,2.2,4,1
EMP-10065,Finance,Controller,39,Male,3.1,3,1
EMP-10066,Customer Success,Support Specialist,36,Female,2.7,3,1
EMP-10067,Operations,Process Lead,30,Male,0.8,2,0
EMP-10068,HR,HR Business Partner,31,Female,2.7,3,1
EMP-10069,Customer Success,CS Manager,47,Female,2.4,3,1
EMP-10070,Engineering,Engineering Manager,48,Male,0.5,2,1
EMP-10071,Engineering,QA Analyst,44,Female,2.6,3,1
EMP-10072,Engineering,QA Analyst,52,Female,3.2,2,1
EMP-10073,Engineering,QA Analyst,41,Female,2.7,2,0
EMP-10074,Customer Success,CS Manager,29,Male,3.6,3,1
EMP-10075,Marketing,Marketing Analyst,41,Male,4.0,4,1
EMP-10076,Finance,Controller,25,Male,4.7,4,1
EMP-10077,Operations,Operations Analyst,42,Female,8.0,3,1
EMP-10078,Customer Success,CS Manager,57,Male,0.2,4,1
EMP-10079,Marketing,Content Strategist,31,Male,1.3,3,1
EMP-10080,Operations,Process Lead,48,Female,3.1,3,1
EMP-10081,Engineering,Engineering Manager,44,Female,5.7,4,1
EMP-10082,Operations,Process Lead,26,Female,0.8,3,1
EMP-10083,Engineering,QA Analyst,43,Male,2.1,3,0
EMP-10084,Engineering,Software Engineer,56,Female,9.0,3,0
EMP-10085,Customer Success,CS Manager,54,Male,7.6,3,1
EMP-10086,Engineering,Data Engineer,24,Male,1.4,1,0
EMP-10087,Engineering,Data Engineer,44,Male,5.9,1,1
EMP-10088,Finance,Controller,24,Male,3.8,3,1
EMP-10089,Finance,FP&A Manager,31,Male,5.9,2,1
EMP-10090,Sales,Sales Manager,32,Male,4.7,3,1
EMP-10091,Customer Success,Support Specialist,54,Male,5.0,3,1
EMP-10092,Customer Success,Support Specialist,51,Male,1.9,2,1
EMP-10093,Engineering,Engineering Manager,59,Male,1.3,4,0
EMP-10094,Customer Success,Support Specialist,44,Female,2.4,3,1
EMP-10095,Marketing,Content Strategist,56,Female,2.3,2,1
EMP-10096,Operations,Supply Chain Manager,52,Female,1.4,2,1
EMP-10097,Engineering,Engineering Manager,34,Female,3.9,4,1
EMP-10098,Finance,FP&A Manager,34,Female,0.7,3,1
EMP-10099,Finance,Financial Analyst,44,Female,3.9,2,1
EMP-10100,Sales,Sales Operations Analyst,58,Male,3.7,2,0
EMP-10101,Engineering,Data Engineer,55,Male,2.0,3,1
EMP-10102,Sales,Sales Operations Analyst,24,Female,1.7,4,1
EMP-10103,HR,HR Business Partner,35,Female,4.2,2,1
EMP-10104,Engineering,Engineering Manager,52,Female,0.5,3,1
EMP-10105,Sales,Sales Manager,37,Female,1.6,3,1
EMP-10106,Sales,Account Executive,40,Male,3.9,2,1
EMP-10107,Sales,Sales Operations Analyst,42,Male,6.6,4,1
EMP-10108,Operations,Process Lead,42,Female,0.7,1,1
EMP-10109,Finance,FP&A Manager,55,Male,4.0,2,1
EMP-10110,Operations,Operations Analyst,34,Female,1.8,3,1
EMP-10111,Engineering,Data Engineer,25,Female,0.8,3,0
EMP-10112,Customer Success,Support Specialist,50,Male,1.1,3,1
EMP-10113,Customer Success,Implementation Consultant,26,Female,8.8,1,0
EMP-10114,Engineering,Engineering Manager,39,Female,4.1,2,1
EMP-10115,Customer Success,CS Manager,22,Male,2.9,3,0
EMP-10116,Operations,Process Lead,35,Male,3.2,4,1
EMP-10117,Sales,Account Executive,54,Male,4.1,1,1
EMP-10118,Finance,Financial Analyst,24,Male,2.6,3,1
EMP-10119,Finance,FP&A Manager,45,Male,1.5,2,0
EMP-10120,Sales,Sales Manager,41,Female,3.0,2,1
EMP-10121,Marketing,Campaign Manager,48,Female,2.4,3,1
EMP-10122,Finance,Financial Analyst,41,Female,3.7,2,1
EMP-10123,Engineering,Data Engineer,42,Female,8.5,3,0
EMP-10124,Marketing,Campaign Manager,47,Female,4.0,3,1
EMP-10125,Sales,Sales Manager,46,Male,1.0,1,1
EMP-10126,Customer Success,Implementation Consultant,28,Female,6.8,2,1
EMP-10127,Engineering,Software Engineer,50,Female,3.3,3,0
EMP-10128,Engineering,Engineering Manager,38,Male,5.4,3,0
EMP-10129,HR,People Operations Analyst,43,Male,2.3,4,0
EMP-10130,Customer Success,CS Manager,30,Female,7.9,4,1
EMP-10131,Engineering,QA Analyst,35,Female,1.9,3,1
EMP-10132,Engineering,Data Engineer,38,Male,5.4,3,1
EMP-10133,HR,Recruiter,45,Male,5.2,2,1
EMP-10134,Finance,Financial Analyst,44,Male,4.1,3,1
EMP-10135,Marketing,Marketing Analyst,26,Female,7.5,3,1
EMP-10136,Sales,Sales Manager,57,Male,2.6,4,1
EMP-10137,Finance,Controller,39,Male,3.5,2,1
EMP-10138,Engineering,Data Engineer,47,Female,1.2,3,1
EMP-10139,Marketing,Content Strategist,34,Female,6.7,2,1
EMP-10140,Engineering,Engineering Manager,46,Male,2.5,3,0
EMP-10141,Customer Success,CS Manager,35,Female,0.7,3,1
EMP-10142,Customer Success,CS Manager,23,Male,1.8,1,1
EMP-10143,Customer Success,Implementation Consultant,40,Female,11.5,3,1
EMP-10144,Sales,Sales Manager,40,Female,4.4,4,1
EMP-10145,Finance,Controller,34,Female,2.7,3,1
EMP-10146,HR,Recruiter,24,Male,5.3,4,1
EMP-10147,Engineering,Engineering Manager,41,Male,7.1,3,1
EMP-10148,Customer Success,CS Manager,44,Male,4.4,3,1
EMP-10149,Customer Success,CS Manager,51,Female,4.5,4,1
EMP-10150,Marketing,Marketing Analyst,29,Female,7.2,3,1
EMP-10151,Marketing,Marketing Analyst,35,Female,2.5,3,1
EMP-10152,Sales,Sales Operations Analyst,59,Female,1.8,2,1
EMP-10153,Sales,Sales Manager,49,Male,4.3,2,1
EMP-10154,Engineering,Data Engineer,31,Male,1.8,4,1
EMP-10155,Customer Success,Implementation Consultant,27,Male,1.8,3,0
EMP-10156,HR,HR Business Partner,31,Male,2.6,4,1
EMP-10157,Engineering,Engineering Manager,38,Male,7.3,4,1
EMP-10158,Finance,Controller,46,Female,1.3,4,1
EMP-10159,Finance,Financial Analyst,58,Female,0.6,3,1
EMP-10160,Customer Success,Support Specialist,45,Female,4.0,4,1
EMP-10161,Engineering,Data Engineer,44,Nonbinary,7.4,4,1
EMP-10162,Sales,Account Executive,57,Nonbinary,2.6,4,1
EMP-10163,Sales,Sales Operations Analyst,23,Male,3.3,4,1
EMP-10164,Engineering,Data Engineer,25,Male,4.0,4,1
EMP-10165,Operations,Supply Chain Manager,33,Female,2.6,3,1
EMP-10166,Marketing,Content Strategist,48,Female,4.9,2,1
EMP-10167,HR,HR Business Partner,25,Female,1.0,4,1
EMP-10168,Finance,FP&A Manager,45,Male,4.3,4,1
EMP-10169,Engineering,Engineering Manager,26,Male,0.5,3,1
EMP-10170,HR,HR Business Partner,51,Male,2.6,2,1
EMP-10171,Engineering,Software Engineer,34,Male,5.1,3,0
EMP-10172,HR,People Operations Analyst,40,Male,3.0,2,1
EMP-10173,Sales,Sales Manager,49,Male,3.4,4,1
EMP-10174,HR,HR Business Partner,32,Female,8.2,2,1
EMP-10175,Operations,Process Lead,26,Female,4.7,2,0
EMP-10176,Marketing,Marketing Analyst,50,Female,8.9,4,1
EMP-10177,Marketing,Content Strategist,25,Male,0.5,1,0
EMP-10178,Finance,Financial Analyst,34,Female,4.1,4,1
EMP-10179,Sales,Account Executive,24,Female,2.3,2,1
EMP-10180,Engineering,Engineering Manager,50,Male,2.6,4,1
EMP-10181,Engineering,QA Analyst,31,Female,3.6,1,1
EMP-10182,Engineering,Software Engineer,47,Male,3.7,3,0
EMP-10183,Engineering,Engineering Manager,29,Male,5.5,2,1
EMP-10184,Marketing,Campaign Manager,43,Male,3.2,2,1
EMP-10185,Engineering,Software Engineer,39,Female,2.2,3,1
EMP-10186,Sales,Account Executive,43,Male,2.7,3,1
EMP-10187,Engineering,QA Analyst,27,Male,3.7,4,0
EMP-10188,Marketing,Content Strategist,25,Female,0.9,3,0
EMP-10189,Customer Success,CS Manager,33,Female,2.6,3,1
EMP-10190,Operations,Process Lead,56,Male,10.8,3,0
EMP-10191,HR,Recruiter,27,Male,1.9,4,1
EMP-10192,Engineering,Data Engineer,55,Male,2.0,3,1
EMP-10193,Engineering,QA Analyst,34,Male,3.0,4,1
EMP-10194,Operations,Supply Chain Manager,24,Male,3.7,2,1
EMP-10195,Engineering,Engineering Manager,33,Male,1.2,2,1
EMP-10196,Operations,Process Lead,56,Male,5.8,2,1
EMP-10197,Customer Success,Implementation Consultant,53,Male,0.9,4,1
EMP-10198,Marketing,Campaign Manager,50,Male,1.3,2,1
EMP-10199,Customer Success,Support Specialist,30,Male,4.4,3,1
EMP-10200,HR,People Operations Analyst,34,Female,3.2,3,1
EMP-10201,Engineering,Data Engineer,38,Female,0.3,4,0
EMP-10202,Operations,Operations Analyst,42,Male,6.0,4,1
EMP-10203,Operations,Operations Analyst,50,Male,1.2,2,1
EMP-10204,HR,People Operations Analyst,26,Female,2.2,2,1
EMP-10205,Engineering,Engineering Manager,27,Male,5.9,2,1
EMP-10206,Engineering,Engineering Manager,36,Female,2.7,1,1
EMP-10207,Sales,Sales Operations Analyst,43,Female,1.2,3,1
EMP-10208,Sales,Sales Operations Analyst,26,Female,3.0,3,1
EMP-10209,Finance,Controller,56,Female,4.2,3,1
EMP-10210,Engineering,Data Engineer,23,Female,10.7,3,1
EMP-10211,Marketing,Campaign Manager,49,Male,13.9,3,1
EMP-10212,Engineering,Software Engineer,39,Male,2.1,2,1
EMP-10213,Engineering,Software Engineer,60,Male,0.5,1,1
EMP-10214,Engineering,Engineering Manager,57,Male,3.8,4,0
EMP-10215,Finance,FP&A Manager,46,Female,5.0,3,1
EMP-10216,Engineering,Software Engineer,49,Female,3.3,3,1
EMP-10217,Customer Success,Support Specialist,42,Female,4.5,2,1
EMP-10218,Engineering,QA Analyst,47,Nonbinary,13.8,4,1
EMP-10219,Engineering,Engineering Manager,28,Male,0.6,3,1
EMP-10220,HR,Recruiter,29,Male,1.2,2,0
EMP-10221,Engineering,Data Engineer,40,Female,1.1,2,1
EMP-10222,Operations,Supply Chain Manager,47,Female,1.6,3,1
EMP-10223,Engineering,Data Engineer,49,Female,3.4,4,1
EMP-10224,Finance,FP&A Manager,22,Female,6.7,3,1
EMP-10225,Finance,Controller,52,Male,2.2,3,1
EMP-10226,Sales,Sales Manager,46,Male,2.9,3,1
EMP-10227,Engineering,Data Engineer,45,Male,2.7,4,1
EMP-10228,Engineering,Engineering Manager,29,Female,1.5,3,1
EMP-10229,Engineering,Data Engineer,29,Female,10.2,2,1
EMP-10230,Operations,Supply Chain Manager,58,Male,4.3,4,1
EMP-10231,Sales,Account Executive,55,Male,5.3,3,1
EMP-10232,Operations,Supply Chain Manager,22,Male,3.9,4,0
EMP-10233,Operations,Process Lead,37,Female,4.4,4,0
EMP-10234,Operations,Supply Chain Manager,37,Male,5.1,3,1
EMP-10235,Engineering,Software Engineer,47,Female,2.0,3,1
EMP-10236,Engineering,QA Analyst,31,Male,3.4,3,0
EMP-10237,Engineering,Engineering Manager,30,Male,4.2,4,1
EMP-10238,Engineering,Software Engineer,49,Female,3.2,3,1
EMP-10239,Finance,FP&A Manager,22,Male,6.3,3,1
EMP-10240,Sales,Account Executive,28,Female,10.4,4,1
EMP-10241,Customer Success,Support Specialist,35,Male,7.5,3,1
EMP-10242,Engineering,QA Analyst,25,Female,1.9,3,1
EMP-10243,Marketing,Content Strategist,27,Male,1.5,4,1
EMP-10244,Customer Success,Support Specialist,41,Male,5.6,3,0
EMP-10245,Engineering,QA Analyst,57,Male,3.4,3,1
EMP-10246,Operations,Operations Analyst,57,Male,8.8,3,1
EMP-10247,Finance,Controller,32,Female,1.0,3,0
EMP-10248,Engineering,Data Engineer,32,Male,3.7,3,1
EMP-10249,Finance,FP&A Manager,30,Female,1.6,3,1
EMP-10250,Operations,Supply Chain Manager,43,Male,1.3,1,1
EMP-10251,HR,Recruiter,54,Female,1.8,3,1
EMP-10252,Operations,Supply Chain Manager,60,Female,2.8,4,0
EMP-10253,Engineering,Software Engineer,56,Male,1.0,3,1
EMP-10254,Finance,Controller,49,Female,4.3,4,1
EMP-10255,Operations,Operations Analyst,36,Female,9.9,3,1
EMP-10256,Operations,Process Lead,57,Male,0.7,4,1
EMP-10257,Operations,Process Lead,22,Female,8.1,3,1
EMP-10258,HR,Recruiter,52,Female,3.2,2,1
EMP-10259,Engineering,Data Engineer,42,Male,3.1,1,1
EMP-10260,Marketing,Marketing Analyst,59,Male,3.2,1,1
EMP-10261,Sales,Account Executive,56,Male,1.6,2,1
EMP-10262,Engineering,Software Engineer,52,Female,4.3,3,1
EMP-10263,Operations,Operations Analyst,47,Male,3.1,3,1
EMP-10264,Operations,Operations Analyst,27,Male,5.9,2,1
EMP-10265,Operations,Operations Analyst,34,Female,2.6,1,1
EMP-10266,Sales,Account Executive,47,Female,1.9,4,1
EMP-10267,Operations,Supply Chain Manager,59,Male,5.2,4,1
EMP-10268,Engineering,Engineering Manager,22,Female,1.3,4,1
EMP-10269,Finance,Controller,29,Male,4.6,2,1
EMP-10270,Sales,Sales Operations Analyst,23,Female,1.5,2,0
EMP-10271,Customer Success,CS Manager,24,Male,13.7,3,1
EMP-10272,Engineering,QA Analyst,36,Female,3.7,3,1
EMP-10273,Engineering,QA Analyst,28,Female,2.5,3,1
EMP-10274,Operations,Operations Analyst,39,Male,0.6,2,1
EMP-10275,Operations,Process Lead,47,Male,8.1,3,1
EMP-10276,Marketing,Content Strategist,46,Male,1.8,3,1
EMP-10277,Marketing,Content Strategist,32,Male,4.2,2,1
EMP-10278,Operations,Process Lead,50,Male,3.3,3,0
EMP-10279,Operations,Process Lead,48,Female,0.8,1,1
EMP-10280,Marketing,Campaign Manager,42,Male,5.5,3,1
EMP-10281,Operations,Supply Chain Manager,39,Male,5.7,3,0
EMP-10282,Operations,Operations Analyst,56,Female,2.2,2,0
EMP-10283,Engineering,Data Engineer,41,Male,2.1,4,1
EMP-10284,Sales,Account Executive,26,Male,4.5,2,1
EMP-10285,Operations,Supply Chain Manager,45,Female,7.4,4,0
EMP-10286,Customer Success,Support Specialist,43,Male,3.0,3,0
EMP-10287,Engineering,QA Analyst,23,Female,2.1,4,0
EMP-10288,Engineering,Software Engineer,46,Female,5.9,2,1
EMP-10289,Marketing,Marketing Analyst,54,Female,8.0,3,1
EMP-10290,Engineering,QA Analyst,34,Male,1.9,3,1
EMP-10291,Engineering,QA Analyst,43,Female,2.1,3,1
EMP-10292,Finance,Financial Analyst,56,Male,2.6,4,1
EMP-10293,Engineering,QA Analyst,24,Male,6.6,1,1
EMP-10294,HR,People Operations Analyst,44,Male,7.1,3,0
EMP-10295,Operations,Process Lead,37,Male,1.9,3,1
EMP-10296,Engineering,Data Engineer,25,Male,3.7,4,0
EMP-10297,Engineering,Engineering Manager,24,Male,4.1,3,1
EMP-10298,Engineering,Data Engineer,41,Male,1.6,1,0
EMP-10299,HR,Recruiter,46,Female,2.4,3,1
EMP-10300,Engineering,Engineering Manager,29,Female,9.0,3,1
EMP-10301,Finance,Financial Analyst,32,Male,3.2,4,1
EMP-10302,Engineering,Data Engineer,59,Male,4.4,4,1
EMP-10303,Engineering,Data Engineer,52,Male,2.5,4,1
EMP-10304,Finance,Financial Analyst,59,Female,6.7,3,1
EMP-10305,Engineering,Software Engineer,52,Female,4.6,3,1
EMP-10306,Finance,FP&A Manager,57,Female,3.8,3,0
EMP-10307,Marketing,Marketing Analyst,36,Female,6.2,2,1
EMP-10308,Sales,Sales Manager,34,Female,0.7,3,1
EMP-10309,Finance,Financial Analyst,24,Male,6.3,4,0
EMP-10310,HR,Recruiter,25,Female,1.7,3,1
EMP-10311,Engineering,QA Analyst,49,Male,2.3,1,1
EMP-10312,Finance,Financial Analyst,58,Male,5.0,2,0
EMP-10313,Operations,Supply Chain Manager,33,Female,8.4,3,1
EMP-10314,Operations,Process Lead,56,Female,5.7,3,1
EMP-10315,Marketing,Content Strategist,30,Male,9.1,1,1
EMP-10316,Marketing,Campaign Manager,31,Female,2.3,2,1
EMP-10317,Engineering,QA Analyst,42,Male,4.1,3,1
EMP-10318,Operations,Operations Analyst,23,Male,6.4,4,0
EMP-10319,Marketing,Campaign Manager,23,Male,1.2,2,0
EMP-10320,Sales,Sales Operations Analyst,52,Female,1.3,3,1
EMP-10321,Customer Success,Support Specialist,46,Female,3.7,4,1
EMP-10322,Finance,Controller,60,Female,1.2,3,1
EMP-10323,Marketing,Marketing Analyst,48,Female,2.0,4,1
EMP-10324,Engineering,QA Analyst,45,Male,1.0,3,0
EMP-10325,Engineering,Data Engineer,47,Male,5.4,4,1
EMP-10326,Engineering,QA Analyst,51,Nonbinary,12.0,3,1
EMP-10327,Operations,Process Lead,58,Female,3.5,3,1
EMP-10328,Customer Success,CS Manager,32,Male,0.3,2,0
EMP-10329,Marketing,Content Strategist,41,Male,1.2,3,0
EMP-10330,Sales,Sales Manager,34,Female,2.5,3,1
EMP-10331,HR,People Operations Analyst,28,Female,11.0,1,1
EMP-10332,Marketing,Campaign Manager,47,Male,0.9,4,0
EMP-10333,HR,People Operations Analyst,48,Male,0.9,2,0
EMP-10334,Engineering,Software Engineer,45,Male,4.0,1,1
EMP-10335,Engineering,Software Engineer,59,Female,4.6,4,1
EMP-10336,Engineering,QA Analyst,58,Female,5.4,1,1
EMP-10337,Marketing,Content Strategist,38,Male,1.2,4,1
EMP-10338,Finance,FP&A Manager,49,Male,1.7,3,0
EMP-10339,Engineering,Engineering Manager,22,Female,1.8,3,1
EMP-10340,Engineering,Engineering Manager,22,Male,7.6,3,0
EMP-10341,Finance,Financial Analyst,57,Male,6.5,3,1
EMP-10342,Finance,Financial Analyst,39,Male,5.2,4,0
EMP-10343,Finance,FP&A Manager,50,Female,0.4,2,0
EMP-10344,Sales,Account Executive,60,Male,7.7,4,1
EMP-10345,Marketing,Content Strategist,59,Female,6.4,4,1
EMP-10346,Finance,Controller,53,Female,4.2,2,1
EMP-10347,Finance,Financial Analyst,38,Female,0.9,3,0
EMP-10348,Engineering,QA Analyst,28,Male,1.8,3,0
EMP-10349,Operations,Supply Chain Manager,48,Male,5.1,4,1
EMP-10350,Marketing,Campaign Manager,37,Female,0.3,3,0
EMP-10351,Engineering,Engineering Manager,41,Male,6.0,3,0
EMP-10352,Customer Success,CS Manager,22,Male,3.7,4,1
EMP-10353,Finance,FP&A Manager,28,Male,10.0,4,1
EMP-10354,Operations,Supply Chain Manager,45,Female,1.1,3,1
EMP-10355,Engineering,QA Analyst,32,Female,2.4,1,1
EMP-10356,Finance,FP&A Manager,29,Male,4.5,3,1
EMP-10357,Marketing,Marketing Analyst,58,Male,3.9,4,1
EMP-10358,HR,People Operations Analyst,31,Male,2.9,2,1
EMP-10359,Engineering,Data Engineer,59,Female,2.0,3,1
EMP-10360,Operations,Operations Analyst,54,Male,2.6,4,1
EMP-10361,Finance,FP&A Manager,47,Male,4.4,2,1
EMP-10362,Operations,Operations Analyst,23,Male,1.8,3,1
EMP-10363,Engineering,Software Engineer,26,Female,1.8,3,1
EMP-10364,Sales,Sales Manager,31,Female,3.5,2,1
EMP-10365,Operations,Supply Chain Manager,45,Male,1.1,1,1
EMP-10366,HR,Recruiter,57,Male,0.5,4,1
EMP-10367,Sales,Sales Manager,27,Male,1.3,3,1
EMP-10368,Sales,Account Executive,30,Female,6.8,3,1
EMP-10369,Finance,Controller,47,Female,1.5,2,1
EMP-10370,Customer Success,CS Manager,22,Female,6.9,4,1
EMP-10371,Engineering,QA Analyst,43,Female,3.6,2,1
EMP-10372,Engineering,Engineering Manager,50,Female,2.5,2,1
EMP-10373,Customer Success,CS Manager,59,Male,1.6,2,1
EMP-10374,Operations,Operations Analyst,41,Male,2.6,1,1
EMP-10375,Sales,Sales Operations Analyst,56,Male,3.5,4,1
EMP-10376,Engineering,QA Analyst,53,Male,3.3,1,1
EMP-10377,Customer Success,CS Manager,57,Male,2.4,1,1
EMP-10378,Engineering,Data Engineer,27,Male,4.5,3,1
EMP-10379,Engineering,Software Engineer,55,Female,2.3,1,1
EMP-10380,Finance,Controller,23,Female,3.2,3,0
EMP-10381,Finance,Financial Analyst,56,Female,2.3,1,1
EMP-10382,Customer Success,Implementation Consultant,26,Female,1.7,3,1
EMP-10383,Sales,Sales Manager,50,Nonbinary,2.9,4,0
EMP-10384,Marketing,Content Strategist,25,Female,1.7,4,1
EMP-10385,HR,Recruiter,35,Male,4.1,2,1
EMP-10386,Engineering,Data Engineer,47,Male,7.2,3,1
EMP-10387,Sales,Sales Operations Analyst,44,Female,3.2,1,1
EMP-10388,Sales,Sales Operations Analyst,52,Male,6.6,3,1
EMP-10389,Engineering,Software Engineer,41,Male,4.0,2,0
EMP-10390,HR,Recruiter,36,Female,2.3,4,0
EMP-10391,Finance,Financial Analyst,22,Male,2.6,3,0
EMP-10392,Customer Success,CS Manager,60,Female,2.7,3,1
EMP-10393,Engineering,QA Analyst,27,Male,2.5,3,1
EMP-10394,HR,Recruiter,33,Female,4.8,3,1
EMP-10395,Engineering,Data Engineer,38,Male,2.0,3,0
EMP-10396,Sales,Account Executive,52,Male,2.2,3,1
EMP-10397,Marketing,Campaign Manager,22,Female,2.7,2,0
EMP-10398,Sales,Sales Manager,59,Male,3.5,2,1
EMP-10399,Marketing,Marketing Analyst,55,Female,2.6,2,1
EMP-10400,Marketing,Marketing Analyst,46,Male,4.1,1,1
